Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,90000,,24,107,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,18,107,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,17,107,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,200,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,61,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,58,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,53,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,52,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,49,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,47,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,37,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,33,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,160000,,31,106,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,310,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,290,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,240,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,200,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,190,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,150,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,140,105,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,230,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,210,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,200,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,180,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,160,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,140,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,130,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,125,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,115,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,105,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,98,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,86,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,84,104,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,14000,,10,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,14000,,9.9,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,14000,,9.3,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,14000,,8.5,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,14000,,7.9,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
