SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2009,48,2009/11/24,2009/12/01,0.105,0.167,0.122,0.047,0.169,0.06,0.008,0.054,0.007,0.027,0.058
MOR409,2010,45,2010/11/02,2010/11/09,0.125,0.228,0.135,0.046,0.18,0.098,0.013,0.04,0.008,0.05,0.035
MOR409,2010,46,2010/11/09,2010/11/16,,,,,,,,,,,
MOR409,2010,47,2010/11/16,2010/11/23,0.183,0.421,0.189,0.066,0.253,0.141,0.015,0.212,0.026,0.042,0.278
MOR409,2010,48,2010/11/23,2010/11/30,0.136,0.28,0.049,0.047,0.096,0.092,0.008,0.03,0.005,0.013,0.033
MOR409,2010,49,2010/11/30,2010/12/07,0.195,0.131,0.086,0.088,0.172,0.067,0.015,0.013,0.007,0.015,0.049
MOR409,2011,44,2011/11/01,2011/11/08,0.09,0.315,0.094,0.077,0.17,0.108,0.01,0.083,0.011,0.042,0.029
MOR409,2011,45,2011/11/08,2011/11/15,0.12,0.543,0.056,0.055,0.11,0.191,0.015,0.097,0.015,0.044,0.114
MOR409,2011,46,2011/11/15,2011/11/22,0.124,0.162,0.085,0.056,0.14,0.054,0.009,0.071,0.009,0.016,0.119
MOR409,2011,47,2011/11/22,2011/11/29,0.087,0.156,0.043,0.043,0.086,0.052,0.009,0.052,0.008,0.017,0.06
MOR409,2011,48,2011/11/29,2011/12/06,0.193,0.332,0.117,0.097,0.212,0.143,0.015,0.049,0.007,0.024,0.05
MOR409,2012,45,2012/11/06,2012/11/13,0.092,0.292,0.107,0.05,0.156,0.111,0.009,0.052,0.007,0.048,0.028
MOR409,2012,46,2012/11/13,2012/11/20,0.067,0.191,0.048,0.042,0.089,0.079,0.01,0.028,0.006,0.041,0.026
MOR409,2012,47,2012/11/20,2012/11/27,0.075,0.149,0.09,0.033,0.123,0.045,0.01,0.107,0.014,0.028,0.147
MOR409,2012,48,2012/11/27,2012/12/04,0.061,0.128,0.025,0.026,0.05,0.053,0.008,0.064,0.009,0.023,0.1
MOR409,2009,49,2009/12/01,2009/12/08,0.185,0.367,0.081,0.081,0.161,0.155,0.013,0.03,0.005,0.025,0.024
MOR409,2009,50,2009/12/08,2009/12/15,0.076,0.198,0.056,0.071,0.126,0.089,0.012,0.035,0.003,0.024,0.032
MOR409,2009,51,2009/12/15,2009/12/22,0.117,0.098,0.053,0.054,0.106,0.04,0.009,0.051,0.007,0.067,0.072
MOR409,2009,52,2009/12/22,2009/12/29,0.072,0.256,0.032,0.05,0.081,0.101,0.006,0.021,0.003,0.018,0.018
MOR409,2010,1,2009/12/29,2010/01/05,0.197,0.109,0.087,0.089,0.175,0.066,0.015,0.029,0.007,0.034,0.049
MOR409,2010,50,2010/12/07,2010/12/14,0.086,0.089,0.034,0.035,0.068,0.029,0.006,0.061,0.008,0.015,0.099
MOR409,2010,51,2010/12/14,2010/12/21,0.195,0.108,0.07,0.055,0.124,0.049,0.009,0.056,0.007,0.01,0.081
MOR409,2010,52,2010/12/21,2010/12/28,0.093,0.117,0.038,0.038,0.075,0.033,0.006,0.028,0.004,0.009,0.034
MOR409,2010,53,2010/12/28,2011/01/04,0.126,0.178,0.081,0.067,0.147,0.061,0.009,0.056,0.007,0.022,0.051
MOR409,2011,49,2011/12/06,2011/12/13,0.129,0.464,0.137,0.169,0.304,0.22,0.023,0.025,0.005,0.026,0.032
MOR409,2011,50,2011/12/13,2011/12/20,0.189,0.27,0.087,0.09,0.175,0.131,0.015,0.014,0.007,,0.047
